Network name,Tree name,Country code,Source group,Source,ST,ST,CC,CC_CC
402981_Human_225_5,0402981_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
071973G_Unknown_30_30,071973G_Unknown_30_30,GBR,Unknown,Unknown,30,ST30,30,CC30
0864N0012_Human_59_59,0864N0012_Human_59_59,GBR,Human,Human,59,ST59,59,CC59
0864N0014_Human_338_59,0864N0014_Human_338_59,GBR,Human,Human,338,ST338,59,CC59
0864N0015_Human_375_59,0864N0015_Human_375_59,GBR,Human,Human,375,ST375,59,CC59
0864N0016_Macaque_1760_1760,0864N0016_Macaque_1760_1760,NLD,Monkey,Macaque,1760,ST1760,1760,CC1760
0864N0017_Macaque_1768_1768,0864N0017_Macaque_1768_1768,NLD,Monkey,Macaque,1768,ST1768,1768,CC1768
0864N0018_Macaque_2096_1760,0864N0018_Macaque_2096_1760,NLD,Monkey,Macaque,2096,ST2096,1760,CC1760
0864N0020_Macaque_2098_2098,0864N0020_Macaque_2098_2098,NLD,Monkey,Macaque,2098,ST2098,2098,CC2098
0864N0021_Macaque_2099_45,0864N0021_Macaque_2099_45,NLD,Monkey,Macaque,2099,ST2099,45,CC45
0864N0023_Macaque_2106_2106,0864N0023_Macaque_2106_2106,NLD,Monkey,Macaque,2106,ST2106,2106,CC2106
0864N0024_Macaque_2108_2108,0864N0024_Macaque_2108_2108,NLD,Monkey,Macaque,2108,ST2108,2108,CC2108
0864N0025_Macaque_2119_2119,0864N0025_Macaque_2119_2119,NLD,Monkey,Macaque,2119,ST2119,2119,CC2119
0864N0026_Macaque_2120_2120,0864N0026_Macaque_2120_2120,NLD,Monkey,Macaque,2120,ST2120,2120,CC2120
0864N0027_Macaque_2134_45,0864N0027_Macaque_2134_45,NLD,Monkey,Macaque,2134,ST2134,45,CC45
0864N0037_Human_188_15,0864N0037_Human_188_C188,NLD,Human,Human,188,ST188,188,CC188
0864N0038_Human_1761_601,0864N0038_Human_1761_601,NLD,Human,Human,1761,ST1761,601,CC601
0864N0047_Rabbit_121_121,0864N0047_Rabbit_121_121,ESP,Lagomorphs,Rabbit,121,ST121,121,CC121
0864N0048_Rabbit_121_121,0864N0048_Rabbit_121_121,ESP,Lagomorphs,Rabbit,121,ST121,121,CC121
0864N0049_Rabbit_121_121,0864N0049_Rabbit_121_121,ESP,Lagomorphs,Rabbit,121,ST121,121,CC121
0864N0050_Rabbit_121_121,0864N0050_Rabbit_121_121,ESP,Lagomorphs,Rabbit,121,ST121,121,CC121
0864N0051_Rabbit_121_121,0864N0051_Rabbit_121_121,ESP,Lagomorphs,Rabbit,121,ST121,121,CC121
0864N0092_Human_12_12,0864N0092_Human_12_12,USA,Human,Human,12,ST12,12,CC12
0864N0094_Sheep_1464_1464,0864N0094_Sheep_1464_1464,ESP,Bovid,Sheep,1464,ST1464,1464,CC1464
08BA02176_Human_398_398,08BA02176_Human_398_398,CAN,Human,Human,398,ST398,398,CC398
0979N0001_Human_97_97,0979N0001_Human_97_97,DNK,Human,Human,97,ST97,97,CC97
0979N0002_Human_97_97,0979N0002_Human_97_97,DNK,Human,Human,97,ST97,97,CC97
0979N0003_Human_97_97,0979N0003_Human_97_97,DNK,Human,Human,97,ST97,97,CC97
0979N0004_Human_97_97,0979N0004_Human_97_97,DNK,Human,Human,97,ST97,97,CC97
10388_Human_228_5,10388_Human_228_5,CHE,Human,Human,228,ST228,5,CC5
10497_Human_228_5,10497_Human_228_5,CHE,Human,Human,228,ST228,5,CC5
10868410_Human_225_5,10868410_Human_225_5,DEU,Human,Human,225,ST225,5,CC5
10868428_Cow_188_15,10868428_Cow_188_188,GBR,Bovid,Cow,188,ST188,188,CC188
1086843_unknown_2676_130,1086843_unknown_2676_130,FRA,Unknown,Unknown,2676,ST2676,130,CC130
10868430_Cow_188_15,10868430_Cow_188_188,GBR,Bovid,Cow,188,ST188,188,CC188
10868431_Cow_188_15,10868431_Cow_188_188,GBR,Bovid,Cow,188,ST188,188,CC188
10868432_Cow_1_1,10868432_Cow_1_1,GBR,Bovid,Cow,1,ST1,1,CC1
10868446_Redsquirrel_80_80,10868446_Redsquirrel_80_80,GBR,Rodent,Redsquirrel,80,ST80,80,CC80
10900217_Human_NA_NA,10900217_Human_NA_130,AUT,Human,Human,na,STna,130,CC130
10900218_Hedgehog_1944_130,10900218_Hedgehog_3138_130,AUT,Unclassified,Hedgehog,3138,ST3138,130,CC130
10900219_Hare_700_130,10900219_Hare_700_130,DEU,Lagomorphs,Hare,700,ST700,130,CC130
1090022_Cow_2508_599,1090022_Cow_2508_599,BEL,Bovid,Cow,2508,ST2508,599,CC599
10900246_Cow_458_97,10900246_Cow_2826_97,TUR,Bovid,Cow,2826,ST2826,97,CC97
10900252_Cow_1715_81,10900252_Cow_1715_81,TUR,Bovid,Cow,1715,ST1715,81,CC81
10900259_Cow_504novel_351or151,10900259_Cow_504_151,TUR,Bovid,Cow,504,ST504,151,CC151
10900263_Cow_12_12,10900263_Cow_12_12,TUR,Bovid,Cow,12,ST12,12,CC12
11414177_Deer_425_425,11414177_Deer_425_425,ESP,Ruminant,Deer,425,ST425,425,CC425
1167N0019_Bat_246,1167N0019_Bat_246,NGA,Bat,Bat,246,ST246,246,CC246
1167N0020_Bat_1725_1725,1167N0020_Bat_1725_1725,NGA,Bat,Bat,1725,ST1725,1725,CC1725
1167N0022_Bat_1727_1727,1167N0022_Bat_1727_1727,NGA,Bat,Bat,1727,ST1727,1727,CC1727
1167N0023_Bat_246,1167N0023_Bat_246,NGA,Bat,Bat,246,ST246,246,CC246
1167N0024_Bat_246,1167N0024_Bat_246,NGA,Bat,Bat,2467,ST2467,2467,CC2467
1167N0025_Bat_246,1167N0025_Bat_246,NGA,Bat,Bat,2464,ST2464,2464,CC2464
1167N0026_Bat_246,1167N0026_Bat_246,NGA,Bat,Bat,2463,ST2463,2463,CC2463
1181997_Human_80_80,1181997_Human_80_80,DNK,Human,Human,80,ST80,80,CC80
15532_Human_228_5,15532_Human_228_5,CHE,Human,Human,228,ST228,5,CC5
16035_Human_228_5,16035_Human_228_5,CHE,Human,Human,228,ST228,5,CC5
16125_Human_228_5,16125_Human_228_5,CHE,Human,Human,228,ST228,5,CC5
18341_Human_228_5,18341_Human_228_5,CHE,Human,Human,228,ST228,5,CC5
18412_Human_228_5,18412_Human_228_5,CHE,Human,Human,228,ST228,5,CC5
18583_Human_228_5,18583_Human_228_5,CHE,Human,Human,228,ST228,5,CC5
423811_Human_45_45,423811_Human_45_45,BEL,Human,Human,45,ST45,45,CC45
4238110_Human_45_45,4238110_Human_45_45,BEL,Human,Human,45,ST45,45,CC45
4238111_Human_8_8,4238111_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
4238112_Human_5_5,4238112_Human_5_5,BEL,Human,Human,5,ST5,5,CC5
423814_Human_8_8,423814_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
423815_Human_8_8,423815_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
423816_Human_8_8,423816_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
423817_Human_45_45,423817_Human_45_45,BEL,Human,Human,45,ST45,45,CC45
423818_Human_45_45,423818_Human_45_45,BEL,Human,Human,45,ST45,45,CC45
433021_Human_30_30,433021_Human_30_30,ESP,Human,Human,30,ST30,30,CC30
4330210_Human_146_5,4330210_Human_146_5,ESP,Human,Human,146,ST146,5,CC5
4330211_Human_5_5,4330211_Human_5_5,ESP,Human,Human,5,ST5,5,CC5
4330212_Human_125_5,4330212_Human_125_5,ESP,Human,Human,125,ST125,5,CC5
433022_Human_NA_15,433022_Human_NA_15,ESP,Human,Human,na,STna,15,CC15
433023_Human_8_8,433023_Human_8_8,ESP,Human,Human,8,ST8,8,CC8
433024_Human_146_5,433024_Human_146_5,ESP,Human,Human,146,ST146,5,CC5
433025_Human_NA_30,433025_Human_30_30,ESP,Human,Human,30,ST30,30,CC30
433026_Human_125_5,433026_Human_125_5,ESP,Human,Human,125,ST125,5,CC5
433027_Human_125_5,433027_Human_125_5,ESP,Human,Human,125,ST125,5,CC5
433028_Human_15_15,433028_Human_15_15,ESP,Human,Human,15,ST15,15,CC15
433029_Human_125_5,433029_Human_125_5,ESP,Human,Human,125,ST125,5,CC5
433081_Human_45_45,433081_Human_45_45,AUT,Human,Human,45,ST45,45,CC45
4330810_Human_8_8,4330810_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
4330811_Human_8_8,4330811_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
4330812_Human_8_8,4330812_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
433082_Human_26_25,433082_Human_26_25,AUT,Human,Human,26,ST26,25,CC25
433083_Human_NA_5,433083_Human_NA_5,BEL,Human,Human,na,STna,5,CC5
433084_Human_45_45,433084_Human_45_45,BEL,Human,Human,45,ST45,45,CC45
433086_Human_1_1,433086_Human_1_1,AUT,Human,Human,1,ST1,1,CC1
433087_Human_228_5,433087_Human_228_5,AUT,Human,Human,228,ST228,5,CC5
433088_Human_1776_6,433088_Human_1776_6,AUT,Human,Human,1776,ST1776,6,CC6
433089_Human_8_8,433089_Human_8_8,BEL,Human,Human,8,ST8,8,CC8
434051_Human_45_45,434051_Human_45_45,BGR,Human,Human,45,ST45,45,CC45
4340510_Human_72_72,4340510_Human_72_8888,BGR,Human,Human,72,ST72,72,CC72
4340511_Human_111_5,4340511_Human_111_5,HRV,Human,Human,111,ST111,5,CC5
4340512_Human_22_22,4340512_Human_22_22,HRV,Human,Human,22,ST22,22,CC22
434052_Human_NA_NA,434052_Human_NA_NA,BGR,Human,Human,na,STna,na,CCna
434053_Human_111_5,434053_Human_111_5,HRV,Human,Human,111,ST111,5,CC5
434054_Human_111_5,434054_Human_111_5,HRV,Human,Human,111,ST111,5,CC5
434055_Human_121_121,434055_Human_121_121,BGR,Human,Human,121,ST121,121,CC121
434056_Human_101_101,434056_Human_101_101,BGR,Human,Human,101,ST101,101,CC101
434058_Human_88_88,434058_Human_88_88,BGR,Human,Human,88,ST88,88,CC88
434059_Human_1829_30,434059_Human_1829_30,BGR,Human,Human,1829,ST1829,30,CC30
434061_Human_45_45,434061_Human_45_45,BEL,Human,Human,45,ST45,45,CC45
4340611_Human_72_72,4340611_Human_72_8888,BGR,Human,Human,72,ST72,72,CC72
4340612_Human_5_5,4340612_Human_5_5,BGR,Human,Human,5,ST5,5,CC5
