allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)
g02653_00005	g02653	NA	hypothetical protein	90	2	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	2295	2295	2295.00
g03362_00004	g03362	NA	Glycine/sarcosine N-methyltransferase	90	1	5	1	1	1	0	0	0	0	5	Glycine/sarcosine N-methyltransferase(3):hypothetical protein(2)	NA(5)	507	747	651.00
g04490_00004	g04490	NA	hypothetical protein	90	1	27	1	1	1	0	0	0	0	27	hypothetical protein(27)	NA(27)	270	270	270.00
g01483_00004	g01483	NA	membrane protein	90	4	777	1	1	1	0	0	0	0	777	membrane protein(777)	NA(777)	372	435	395.95
g03458_00004	g03458	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	675	675	675.00
g00063_00004	g00063	citB	aconitate hydratase	90	1	778	1	1	1	0	0	0	0	778	aconitate hydratase(778)	citB(778)	1107	2706	2703.91
g04419_00004	g04419	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	297	297	297.00
g02320_00007	g02320	NA	hypothetical protein	90	3	70	1	1	1	0	0	0	0	70	hypothetical protein(70)	NA(70)	357	357	357.00
g00049_00004	g00049	sgtB	monofunctional glycosyltransferase	90	1	778	1	1	1	0	0	0	0	778	monofunctional glycosyltransferase(778)	sgtB(778)	630	810	809.77
g02211_00009	g02211	sdrD	Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrD	90	3	5	1	1	1	0	0	0	0	5	Ser-Asp rich fibrinogen/bone sialoprotein-binding protein SdrD(5)	sdrD(5)	1125	1125	1125.00
g02211_00011	g02211	spg	Immunoglobulin G-binding protein G	90	3	3	1	1	1	0	0	0	0	3	Immunoglobulin G-binding protein G(3)	spg(3)	1251	1272	1264.00
g04448_00004	g04448	NA	hypothetical protein	90	1	15	1	1	1	0	0	0	0	15	hypothetical protein(15)	NA(15)	285	285	285.00
g03298_00004	g03298	uspA	universal stress protein	90	1	15	1	1	1	0	0	0	0	15	universal stress protein(15)	uspA(15)	432	432	432.00
g04342_00004	g04342	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	336	336	336.00
g02014_00004	g02014	NA	hypothetical protein	90	3	12	1	1	1	0	0	0	0	12	hypothetical protein(12)	NA(12)	522	522	522.00
g04364_00004	g04364	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	321	321	321.00
g02922_00004	g02922	NA	membrane protein	90	2	2	1	1	1	0	0	0	0	2	membrane protein(2)	NA(2)	357	366	361.50
g02941_00004	g02941	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	321	330	325.50
g01987_00004	g01987	NA	putative thiamine-precursor transporter protein (ThiW)	90	2	777	1	1	1	0	0	0	0	777	putative thiamine-precursor transporter protein (ThiW)(777)	NA(777)	246	552	491.69
g03243_00004	g03243	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	462	462	462.00
g03982_00004	g03982	mntB	ABC superfamily ATP binding cassette transporter%2C membrane protein	90	1	777	1	1	1	0	0	0	0	777	ABC superfamily ATP binding cassette transporter%2C membrane protein(777)	mntB(777)	834	837	837.00
