allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)
g06179_00004	g06179	exaE	Transcriptional activator protein ExaE	90	1	1	1	1	1	0	0	0	0	1	Transcriptional activator protein ExaE(1)	exaE(1)	642	642	642.00
g01194_00004	g01194	mutT	8-oxo-dGTP diphosphatase	90	10	379	1	1	1	0	0	0	0	379	8-oxo-dGTP diphosphatase(378):hypothetical protein(1)	mutT(378):NA(1)	159	417	404.27
g05681_00004	g05681	bar	Phosphinothricin N-acetyltransferase	90	1	2	1	1	1	0	0	0	0	2	Phosphinothricin N-acetyltransferase(2)	bar(2)	486	486	486.00
g04956_00004	g04956	spo0C	Chromosome-partitioning protein Spo0J	90	1	2	1	1	1	0	0	0	0	2	Chromosome-partitioning protein Spo0J(2)	spo0C(2)	999	999	999.00
g01539_00004	g01539	NA	hypothetical protein	90	8	377	1	1	1	0	0	0	0	377	hypothetical protein(377)	NA(377)	351	1926	1916.74
g06464_00004	g06464	NA	hypothetical protein	90	1	9	1	1	1	0	0	0	0	9	hypothetical protein(9)	NA(9)	762	762	762.00
g04539_00004	g04539	NA	hypothetical protein	90	1	8	1	1	1	0	0	0	0	8	hypothetical protein(8)	NA(8)	543	1299	1204.50
g06067_00004	g06067	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	288	288	288.00
g05426_00004	g05426	NA	hypothetical protein	90	1	6	1	1	1	0	0	0	0	6	hypothetical protein(6)	NA(6)	168	168	168.00
g02865_00004	g02865	NA	hypothetical protein	90	4	68	1	1	1	0	0	0	0	68	hypothetical protein(68)	NA(68)	123	123	123.00
g05331_00004	g05331	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	192	192	192.00
g04687_00004	g04687	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	1971	1971	1971.00
g05825_00004	g05825	NA	hypothetical protein	90	1	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	396	396	396.00
g02579_00004	g02579	proQ	RNA chaperone ProQ	90	5	379	1	1	1	0	0	0	0	379	RNA chaperone ProQ(379)	proQ(379)	693	693	693.00
g01836_00004	g01836	NA	hypothetical protein	90	5	263	1	1	1	0	0	0	0	263	hypothetical protein(263)	NA(263)	231	5208	4191.27
g04056_00004	g04056	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	453	456	454.50
g05696_00004	g05696	NA	hypothetical protein	90	1	3	1	1	1	0	0	0	0	3	hypothetical protein(3)	NA(3)	474	474	474.00
g06097_00004	g06097	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	279	279	279.00
g02617_00004	g02617	fliP	Flagellar biosynthetic protein FliP	90	2	379	1	1	1	0	0	0	0	379	Flagellar biosynthetic protein FliP(379)	fliP(379)	591	750	749.49
g00031_00004	g00031	secY	Protein translocase subunit SecY	90	1	379	1	1	1	0	0	0	0	379	Protein translocase subunit SecY(379)	secY(379)	1329	1329	1329.00
g00016_00004	g00016	fliG	Flagellar motor switch protein FliG	90	1	379	1	1	1	0	0	0	0	379	Flagellar motor switch protein FliG(379)	fliG(379)	168	990	987.54
g03769_00006	g03769	NA	hypothetical protein	90	2	2	1	1	1	0	0	0	0	2	hypothetical protein(2)	NA(2)	1464	1464	1464.00
g03769_00007	g03769	NA	hypothetical protein	90	2	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	1425	1425	1425.00
g02795_00004	g02795	neuB	N%2CN'-diacetyllegionaminic acid synthase	90	4	7	1	1	1	0	0	0	0	7	N%2CN'-diacetyllegionaminic acid synthase(7)	neuB(7)	1050	1050	1050.00
g03517_00004	g03517	NA	5-formyltetrahydrofolate cyclo-ligase	90	3	379	1	1	1	0	0	0	0	379	5-formyltetrahydrofolate cyclo-ligase(379)	NA(379)	243	582	581.11
g05038_00004	g05038	NA	hypothetical protein	90	1	1	1	1	1	0	0	0	0	1	hypothetical protein(1)	NA(1)	261	261	261.00
